product_code|gender|full_price|price|currency|country|item_url|brand|website|date|price_max
10597272671|Unisex|199.00|178.00|RMB|CHINA|http://item.jd.com/10597272671.html|清宜坊（QINGYIFANG）|JD.COM|20170214|199.00
10365045668|Unisex|288.00|288.00|RMB|CHINA|http://item.jd.com/10365045668.html|檀释|JD.COM|20170214|288.00
326931|Unisex|259.00|259.00|RMB|CHINA|http://item.jd.com/326931.html|皮尔卡丹（pierre cardin）|JD.COM|20170214|259.00
1818658|Unisex|569.00|299.00|RMB|CHINA|http://item.jd.com/1818658.html|稻草人（MEXICAN）|JD.COM|20170214|569.00
1661233283|Unisex|398.00|199.00|RMB|CHINA|http://item.jd.com/1661233283.html|华帝（VATTI）|JD.COM|20170214|398.00
1961415|Unisex|478.00|478.00|RMB|CHINA|http://item.jd.com/1961415.html|艾塔（itaste）|JD.COM|20170214|478.00
2330813|Unisex|99.00|62.00|RMB|CHINA|http://item.jd.com/2330813.html|金火把|JD.COM|20170214|99.00
10431408993|Unisex|268.00|268.00|RMB|CHINA|http://item.jd.com/10431408993.html|吾尚|JD.COM|20170214|268.00
324759|Unisex|188.00|188.00|RMB|CHINA|http://item.jd.com/324759.html|王子（Prince）|JD.COM|20170214|188.00
4184404|Unisex|238.00|238.00|RMB|CHINA|http://item.jd.com/4184404.html|艾塔（itaste）|JD.COM|20170214|238.00
1976931188|Unisex|6730.00|6730.00|RMB|CHINA|https://item.jd.hk/1976931188.html||JD.COM|20170214|6730.00
1976093057|Unisex|12699.00|12699.00|RMB|CHINA|https://item.jd.hk/1976093057.html||JD.COM|20170214|12699.00
739139|Unisex|129.00|129.00|RMB|CHINA|http://item.jd.com/739139.html|ZOBO|JD.COM|20170214|129.00
326908|Unisex|219.00|219.00|RMB|CHINA|http://item.jd.com/326908.html|皮尔卡丹（pierre cardin）|JD.COM|20170214|219.00
3791083|Unisex|598.00|598.00|RMB|CHINA|http://item.jd.com/3791083.html|君肴|JD.COM|20170214|598.00
324791|Unisex|199.00|199.00|RMB|CHINA|http://item.jd.com/324791.html|王子（Prince）|JD.COM|20170214|199.00
326767|Unisex|159.00|159.00|RMB|CHINA|http://item.jd.com/326767.html|皮尔卡丹（pierre cardin）|JD.COM|20170214|159.00
4289380|Unisex|799.00|799.00|RMB|CHINA|http://item.jd.com/4289380.html|君肴|JD.COM|20170214|799.00
11052653690|Unisex|469.00|469.00|RMB|CHINA|http://item.jd.com/11052653690.html|摇錢樹|JD.COM|20170214|469.00
3800391|Unisex|349.00|349.00|RMB|CHINA|http://item.jd.com/3800391.html|君肴|JD.COM|20170214|349.00
2709042|Unisex|159.00|159.00|RMB|CHINA|http://item.jd.com/2709042.html|Umbra|JD.COM|20170214|159.00
10053526376|Unisex|96.00|96.00|RMB|CHINA|http://item.jd.com/10053526376.html|檀释|JD.COM|20170214|96.00
1313281|Unisex|99.00|79.00|RMB|CHINA|http://item.jd.com/1313281.html|晟旎尚品|JD.COM|20170214|99.00
326746|Unisex|259.00|259.00|RMB|CHINA|http://item.jd.com/326746.html|皮尔卡丹（pierre cardin）|JD.COM|20170214|259.00
4124338|Unisex|1536.00|1536.00|RMB|CHINA|http://item.jd.com/4124338.html|S.T.Dupont|JD.COM|20170214|1536.00
326735|Unisex|169.00|169.00|RMB|CHINA|http://item.jd.com/326735.html|皮尔卡丹（pierre cardin）|JD.COM|20170214|169.00
326912|Unisex|219.00|219.00|RMB|CHINA|http://item.jd.com/326912.html|皮尔卡丹（pierre cardin）|JD.COM|20170214|219.00
326800|Unisex|169.00|169.00|RMB|CHINA|http://item.jd.com/326800.html|皮尔卡丹（pierre cardin）|JD.COM|20170214|169.00
1002567925|Unisex|268.00|169.00|RMB|CHINA|http://item.jd.com/1002567925.html|PHILIPPI|JD.COM|20170214|268.00
1375034|Unisex|188.00|188.00|RMB|CHINA|http://item.jd.com/1375034.html|之宝（ZIPPO）|JD.COM|20170214|188.00
324813|Unisex|199.00|199.00|RMB|CHINA|http://item.jd.com/324813.html|王子（Prince）|JD.COM|20170214|199.00
1318581|Unisex|699.00|699.00|RMB|CHINA|http://item.jd.com/1318581.html|WIN|JD.COM|20170214|699.00
1945315|Unisex|108.00|108.00|RMB|CHINA|http://item.jd.com/1945315.html|之宝（ZIPPO）|JD.COM|20170214|108.00
1945340|Unisex|268.00|268.00|RMB|CHINA|http://item.jd.com/1945340.html|之宝（ZIPPO）|JD.COM|20170214|268.00
321136|Unisex|999.00|999.00|RMB|CHINA|http://item.jd.com/321136.html|WIN|JD.COM|20170214|999.00
314079|Unisex|118.00|118.00|RMB|CHINA|http://item.jd.com/314079.html|之宝（ZIPPO）|JD.COM|20170214|118.00
1986391|Unisex|159.00|159.00|RMB|CHINA|http://item.jd.com/1986391.html|之宝（ZIPPO）|JD.COM|20170214|159.00
321117|Unisex|699.00|699.00|RMB|CHINA|http://item.jd.com/321117.html|WIN|JD.COM|20170214|699.00
1455343|Unisex|230.00|230.00|RMB|CHINA|http://item.jd.com/1455343.html|之宝（ZIPPO）|JD.COM|20170214|230.00
2194744|Unisex|79.00|79.00|RMB|CHINA|http://item.jd.com/2194744.html|虎牌|JD.COM|20170214|79.00
807130|Unisex|68.00|68.00|RMB|CHINA|http://item.jd.com/807130.html|ZOBO|JD.COM|20170214|68.00
1371056|Unisex|399.00|399.00|RMB|CHINA|http://item.jd.com/1371056.html|之宝（ZIPPO）|JD.COM|20170214|399.00
2653070|Unisex|98.00|98.00|RMB|CHINA|http://item.jd.com/2653070.html|特唯普（TRUVAPE）|JD.COM|20170214|98.00
807131|Unisex|79.00|79.00|RMB|CHINA|http://item.jd.com/807131.html|ZOBO|JD.COM|20170214|79.00
1501185|Unisex|99.00|99.00|RMB|CHINA|http://item.jd.com/1501185.html|云端|JD.COM|20170214|99.00
2194768|Unisex|99.00|99.00|RMB|CHINA|http://item.jd.com/2194768.html|虎牌|JD.COM|20170214|99.00
2735297|Unisex|98.00|98.00|RMB|CHINA|http://item.jd.com/2735297.html|Mask king|JD.COM|20170214|98.00
2195245|Unisex|79.00|79.00|RMB|CHINA|http://item.jd.com/2195245.html|虎牌|JD.COM|20170214|79.00
