product_code|gender|full_price|price|currency|country|item_url|brand|website|date|price_max
pwru3898|WOMEN|0|168.00|GBP|United Kingdom|/uk/wallets+wristlets-/cedar-street-lacey/invt/pwru3898|KATE SPADE|KATE SPADE|20170222|0
luanns|WOMEN|0|176.00|GBP|United Kingdom|/uk/eyewear/luann-sunglasses/invt/luanns|KATE SPADE|KATE SPADE|20170222|0
pwru5387-071|WOMEN|0|70.00|GBP|United Kingdom|/uk/small-accessories/classic-nylon-jewelry-roll/invt/pwru5387-071|KATE SPADE|KATE SPADE|20170222|0
pwru5389-071|WOMEN|0|150.00|GBP|United Kingdom|/uk/small-accessories/classic-nylon-micah/invt/pwru5389-071|KATE SPADE|KATE SPADE|20170222|0
pwru5391-071|WOMEN|0|115.00|GBP|United Kingdom|/uk/small-accessories/classic-nylon-minna/invt/pwru5391-071|KATE SPADE|KATE SPADE|20170222|0
pwru5387-446|WOMEN|0|70.00|GBP|United Kingdom|/uk/small-accessories/classic-nylon-jewelry-roll/invt/pwru5387-446|KATE SPADE|KATE SPADE|20170222|0
pwru5389-446|WOMEN|0|150.00|GBP|United Kingdom|/uk/small-accessories/classic-nylon-micah/invt/pwru5389-446|KATE SPADE|KATE SPADE|20170222|0
pwru5391-446|WOMEN|0|115.00|GBP|United Kingdom|/uk/small-accessories/classic-nylon-minna/invt/pwru5391-446|KATE SPADE|KATE SPADE|20170222|0
pwru5386|WOMEN|0|70.00|GBP|United Kingdom|/uk/small-accessories/classic-nylon-jewelry-roll/invt/pwru5386|KATE SPADE|KATE SPADE|20170222|0
pwru5388|WOMEN|0|150.00|GBP|United Kingdom|/uk/small-accessories/classic-nylon-micah/invt/pwru5388|KATE SPADE|KATE SPADE|20170222|0
pwru5448|WOMEN|0|70.00|GBP|United Kingdom|/uk/cosmetic-cases/wedding-belles-iris/invt/pwru5448|KATE SPADE|KATE SPADE|20170222|0
pwru5453|WOMEN|0|225.00|GBP|United Kingdom|/uk/wallets+wristlets-/miss-piggy-lacey/invt/pwru5453|KATE SPADE|KATE SPADE|20170222|0
8aru1745|WOMEN|0|75.00|GBP|United Kingdom|/uk/tech/applique-folio-iphone-7-case/invt/8aru1745|KATE SPADE|KATE SPADE|20170222|0
s10160002|WOMEN|0|225.00|GBP|United Kingdom|/uk/heels/freya-sandals/invt/s10160002|KATE SPADE|KATE SPADE|20170222|0
s9441187g|WOMEN|0|268.00|GBP|United Kingdom|/uk/heels/idaya-heels/invt/s9441187g|KATE SPADE|KATE SPADE|20170222|0
s9441186f|WOMEN|0|295.00|GBP|United Kingdom|/uk/heels/ideline-heels/invt/s9441186f|KATE SPADE|KATE SPADE|20170222|0
s287693g|WOMEN|0|72.00|GBP|United Kingdom|/uk/keds-for-kate-spade-new-york-glitter-sneakers/invt/s287693g|KATE SPADE|KATE SPADE|20170222|0
8aru1747|WOMEN|0|80.00|GBP|United Kingdom|/uk/tech/who-moi-w-chain-iphone-7-case/invt/8aru1747|KATE SPADE|KATE SPADE|20170222|0
pwru5314|WOMEN|0|195.00|GBP|United Kingdom|/uk/wallets+wristlets-/imagination-monster-lacey/invt/pwru5314|KATE SPADE|KATE SPADE|20170222|0
pwru5318|WOMEN|0|88.00|GBP|United Kingdom|/uk/small-accessories/imagination-monster-party-shiloh/invt/pwru5318|KATE SPADE|KATE SPADE|20170222|0
s287693gf|WOMEN|0|72.00|GBP|United Kingdom|/uk/keds-for-kate-spade-new-york-glitter-sneakers-/invt/s287693gf|KATE SPADE|KATE SPADE|20170222|0
s287693gg|WOMEN|0|72.00|GBP|United Kingdom|/uk/heels/keds-for-kate-spade-new-york-glitter-sneakers/invt/s287693gg|KATE SPADE|KATE SPADE|20170222|0
s359028ma|WOMEN|0|158.00|GBP|United Kingdom|/uk/boots/salma-boots/invt/s359028ma|KATE SPADE|KATE SPADE|20170222|0
s1070491p|WOMEN|0|230.00|GBP|United Kingdom|/uk/flats/carmelina-flats/invt/s1070491p|KATE SPADE|KATE SPADE|20170222|0
847656|WOMEN|0|62.00|GBP|United Kingdom|/uk/daisy-place-tray/invt/847656|KATE SPADE|KATE SPADE|20170222|0
847671|WOMEN|0|51.00|GBP|United Kingdom|/uk/daisy-place-snail-mail-tray/invt/847671|KATE SPADE|KATE SPADE|20170222|0
847677|WOMEN|0|42.00|GBP|United Kingdom|/uk/desk+stationery/daisy-place-medium-square-jewelry-dish/invt/847677|KATE SPADE|KATE SPADE|20170222|0
844744|WOMEN|0|42.00|GBP|United Kingdom|/uk/scented-candle-light-up-the-room/invt/844744|KATE SPADE|KATE SPADE|20170222|0
pxru6668-001|WOMEN|0|315.00|GBP|United Kingdom|/uk/satchels/cameron-street-margot/invt/pxru6668-001|KATE SPADE|KATE SPADE|20170222|0
pwru5072-001|WOMEN|0|98.00|GBP|United Kingdom|/uk/wallets+wristlets-/cameron-street-stacy/invt/pwru5072-001|KATE SPADE|KATE SPADE|20170222|0
pxru6923-902|WOMEN|0|315.00|GBP|United Kingdom|/uk/rucksacks/cameron-street-neema/invt/pxru6923-902|KATE SPADE|KATE SPADE|20170222|0
pxru6923-001|WOMEN|0|315.00|GBP|United Kingdom|/uk/rucksacks/cameron-street-neema/invt/pxru6923-001|KATE SPADE|KATE SPADE|20170222|0
pwru5096-001|WOMEN|0|78.00|GBP|United Kingdom|/uk/small-accessories/cameron-street-beca/invt/pwru5096-001|KATE SPADE|KATE SPADE|20170222|0
s1070492v|WOMEN|0|215.00|GBP|United Kingdom|/uk/flats/claudia-flats/invt/s1070492v|KATE SPADE|KATE SPADE|20170222|0
s241601pa|WOMEN|0|295.00|GBP|United Kingdom|/uk/flats/gino-flats/invt/s241601pa|KATE SPADE|KATE SPADE|20170222|0
s170370p|WOMEN|0|225.00|GBP|United Kingdom|/uk/corina-flats/invt/s170370p|KATE SPADE|KATE SPADE|20170222|0
s170370pd|WOMEN|0|225.00|GBP|United Kingdom|/uk/flats/corina-flats/invt/s170370pd|KATE SPADE|KATE SPADE|20170222|0
s170520na|WOMEN|0|225.00|GBP|United Kingdom|/uk/flats/cabbot-flats/invt/s170520na|KATE SPADE|KATE SPADE|20170222|0
s1512784n|WOMEN|0|178.00|GBP|United Kingdom|/uk/flats/elliot-flats/invt/s1512784n|KATE SPADE|KATE SPADE|20170222|0
s1512872k|WOMEN|0|178.00|GBP|United Kingdom|/uk/flats/eden-flats/invt/s1512872k|KATE SPADE|KATE SPADE|20170222|0
854801|WOMEN|0|78.00|GBP|United Kingdom|/uk/pearl-place-rosebowl/invt/854801|KATE SPADE|KATE SPADE|20170222|0
l857833|WOMEN|0|42.00|GBP|United Kingdom|/uk/desk+stationery/be-the-star-of-your-story-candle/invt/l857833|KATE SPADE|KATE SPADE|20170222|0
l857838|WOMEN|0|60.00|GBP|United Kingdom|/uk/glassware+barware/two-of-a-kind-gold-dot-shaker/invt/l857838|KATE SPADE|KATE SPADE|20170222|0
854772|WOMEN|0|42.00|GBP|United Kingdom|/uk/daisy-place-round-dish/invt/854772|KATE SPADE|KATE SPADE|20170222|0
pxru6912-001|WOMEN|0|268.00|GBP|United Kingdom|/uk/cross-body/cameron-street-byrdie/invt/pxru6912-001|KATE SPADE|KATE SPADE|20170222|0
pxru5931-001|WOMEN|0|340.00|GBP|United Kingdom|/uk/satchels/cameron-street-candace-satchel/invt/pxru5931-001|KATE SPADE|KATE SPADE|20170222|0
pxru5931-067|WOMEN|0|340.00|GBP|United Kingdom|/uk/satchels/cameron-street-candace-satchel/invt/pxru5931-067|KATE SPADE|KATE SPADE|20170222|0
pwru5073-001|WOMEN|0|168.00|GBP|United Kingdom|/uk/wallets+wristlets-/cameron-street-lacey/invt/pwru5073-001|KATE SPADE|KATE SPADE|20170222|0
pwru5205|WOMEN|0|78.00|GBP|United Kingdom|/uk/travel-accessories/cameron-street-travel-passport-holder/invt/pwru5205|KATE SPADE|KATE SPADE|20170222|0
s1512680k|WOMEN|0|225.00|GBP|United Kingdom|/uk/flats/edina-flats/invt/s1512680k|KATE SPADE|KATE SPADE|20170222|0
pwru5302|WOMEN|0|160.00|GBP|United Kingdom|/uk/wallets+wristlets-/cedar-street-floral-lacey/invt/pwru5302|KATE SPADE|KATE SPADE|20170222|0
pwru5304|WOMEN|0|70.00|GBP|United Kingdom|/uk/travel-accessories/cedar-street-floral-passport-holder/invt/pwru5304|KATE SPADE|KATE SPADE|20170222|0
njmu7366|WOMEN|0|278.00|GBP|United Kingdom|/uk/dresses/rose-denim-shirtdress/invt/njmu7366|KATE SPADE|KATE SPADE|20170222|0
njmu7435-689|WOMEN|0|250.00|GBP|United Kingdom|/uk/dresses/stretch-crepe-flip-dress/invt/njmu7435-689|KATE SPADE|KATE SPADE|20170222|0
njmu7482|WOMEN|0|505.00|GBP|United Kingdom|/uk/dresses/rosa-lace-dress/invt/njmu7482|KATE SPADE|KATE SPADE|20170222|0
njmu7483|WOMEN|0|335.00|GBP|United Kingdom|/uk/skirts+shorts/rosa-ruffle-shift-dress/invt/njmu7483|KATE SPADE|KATE SPADE|20170222|0
pxru7080-001|WOMEN|0|235.00|GBP|United Kingdom|/uk/cross-body/orchard-street-arla/invt/pxru7080-001|KATE SPADE|KATE SPADE|20170222|0
pxru7080-657|WOMEN|0|235.00|GBP|United Kingdom|/uk/cross-body/orchard-street-arla/invt/pxru7080-657|KATE SPADE|KATE SPADE|20170222|0
pxru7080-286|WOMEN|0|235.00|GBP|United Kingdom|/uk/cross-body/orchard-street-arla/invt/pxru7080-286|KATE SPADE|KATE SPADE|20170222|0
pxru7445-651|WOMEN|0|268.00|GBP|United Kingdom|/uk/cameron-street-little-babe/invt/pxru7445-651|KATE SPADE|KATE SPADE|20170222|0
pxru7525|WOMEN|0|250.00|GBP|United Kingdom|/uk/satchels/cameron-street-roses-little-babe/invt/pxru7525|KATE SPADE|KATE SPADE|20170222|0
pxru7445-657|WOMEN|0|268.00|GBP|United Kingdom|/uk/cameron-street-little-babe/invt/pxru7445-657|KATE SPADE|KATE SPADE|20170222|0
l864182|WOMEN|0|100.00|GBP|United Kingdom|/uk/desk+stationery/sullivan-street-4x6-hinged-double-frame/invt/l864182|KATE SPADE|KATE SPADE|20170222|0
l865401|WOMEN|0|60.00|GBP|United Kingdom|/uk/glassware+barware/larabee-dot-set-of-4-beer-glasses/invt/l865401|KATE SPADE|KATE SPADE|20170222|0
l836195|WOMEN|0|45.00|GBP|United Kingdom|/uk/glassware+barware/larabee-dot-balloons-set/invt/l836195|KATE SPADE|KATE SPADE|20170222|0
l836196|WOMEN|0|73.00|GBP|United Kingdom|/uk/glassware+barware/larabee-dot-decanter/invt/l836196|KATE SPADE|KATE SPADE|20170222|0
851759|WOMEN|0|78.00|GBP|United Kingdom|/uk/cause-a-stir-say-cheese-tray/invt/851759|KATE SPADE|KATE SPADE|20170222|0
852085|WOMEN|0|42.00|GBP|United Kingdom|/uk/garden-drive-square-jewelry-box/invt/852085|KATE SPADE|KATE SPADE|20170222|0
l836217|WOMEN|0|42.00|GBP|United Kingdom|/uk/glassware+barware/two-of-a-kind-two-piece-bar-set/invt/l836217|KATE SPADE|KATE SPADE|20170222|0
